,exp_id,rt.0,stimulus.0,response.0,trial_type.0,trial_index.0,time_elapsed.0,internal_node_id.0,bean_trial_duration.0,bean_duration.0,bean_stimulus.0,bean_choices.0,bean_correct_key.0,bean_type.0,bean_text.0,bean_color.0,bean_correct.0,rt.1,stimulus.1,response.1,trial_type.1,trial_index.1,time_elapsed.1,internal_node_id.1,bean_trial_duration.1,bean_duration.1,bean_stimulus.1,bean_choices.1,bean_correct_key.1,bean_type.1,bean_text.1,bean_color.1,bean_correct.1,rt.2,stimulus.2,response.2,trial_type.2,trial_index.2,time_elapsed.2,internal_node_id.2,bean_trial_duration.2,bean_duration.2,bean_stimulus.2,bean_choices.2,bean_correct_key.2,bean_type.2,bean_text.2,bean_color.2,bean_correct.2
0,0,,<div style='color:white'>+</div>,,html-keyboard-response,0,803,0.0-0.0-0.0,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,608.0,<div style='color:green'>GREEN</div>,j,html-keyboard-response,1,1412,0.0-0.0-1.0,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,True,,<div style='color:green'>Correct!</div>,,html-keyboard-response,2,2216,0.0-0.0-2.0,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
1,0,608.0,<div style='color:green'>GREEN</div>,j,html-keyboard-response,3,2805,0.0-0.0-0.1,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,4,3019,0.0-0.0-1.1,2000,2000,<div style='color:green'>RED</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,RED,green,False,580.0,<div style='color:green'>RED</div>,j,html-keyboard-response,5,3385,0.0-0.0-2.1,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
2,0,,<div style='color:red'>False!</div>,,html-keyboard-response,6,3821,0.0-0.0-0.2,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,7,4187,0.0-0.0-1.2,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,387.0,<div style='color:red'>RED</div>,f,html-keyboard-response,8,4207,0.0-0.0-2.2,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
3,0,580.0,<div style='color:green'>RED</div>,j,html-keyboard-response,9,4807,0.0-0.0-0.3,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>False!</div>,,html-keyboard-response,10,4990,0.0-0.0-1.3,2000,2000,<div style='color:green'>RED</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,RED,green,False,,<div style='color:white'>+</div>,,html-keyboard-response,11,5009,0.0-0.0-2.3,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
4,0,338.0,<div style='color:green'>RED</div>,j,html-keyboard-response,12,5146,0.0-0.0-0.4,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>False!</div>,,html-keyboard-response,13,5791,0.0-0.0-1.4,2000,2000,<div style='color:red'>GREEN</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,GREEN,red,False,,<div style='color:white'>+</div>,,html-keyboard-response,14,5810,0.0-0.0-2.4,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
5,0,387.0,<div style='color:red'>RED</div>,f,html-keyboard-response,15,5822,0.0-0.0-0.5,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,1034.0,<div style='color:red'>GREEN</div>,f,html-keyboard-response,16,6180,0.0-0.0-1.5,2000,2000,<div style='color:red'>GREEN</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,GREEN,red,True,359.0,<div style='color:red'>GREEN</div>,f,html-keyboard-response,17,6181,0.0-0.0-2.5,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
6,0,,<div style='color:red'>False!</div>,,html-keyboard-response,18,6593,0.0-0.0-0.6,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,19,6611,0.0-0.0-1.6,2000,2000,<div style='color:red'>GREEN</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,GREEN,red,False,338.0,<div style='color:green'>RED</div>,j,html-keyboard-response,20,6809,0.0-0.0-2.6,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
7,0,260.0,<div style='color:red'>GREEN</div>,j,html-keyboard-response,21,6853,0.0-0.0-0.7,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>Correct!</div>,,html-keyboard-response,22,6982,0.0-0.0-1.7,2000,2000,<div style='color:green'>RED</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,RED,green,False,,<div style='color:white'>+</div>,,html-keyboard-response,23,6982,0.0-0.0-2.7,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
8,1,,<div style='color:white'>+</div>,,html-keyboard-response,0,803,0.0-0.0-0.0,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,952.0,<div style='color:green'>GREEN</div>,j,html-keyboard-response,1,1756,0.0-0.0-1.0,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,True,,<div style='color:green'>Correct!</div>,,html-keyboard-response,2,2559,0.0-0.0-2.0,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
9,1,952.0,<div style='color:green'>GREEN</div>,j,html-keyboard-response,3,2806,0.0-0.0-0.1,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,4,3361,0.0-0.0-1.1,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,5,4164,0.0-0.0-2.1,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
10,1,,<div style='color:green'>GREEN</div>,,html-keyboard-response,6,4808,0.0-0.0-0.2,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,7,4966,0.0-0.0-1.2,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,301.0,<div style='color:red'>RED</div>,f,html-keyboard-response,8,5109,0.0-0.0-2.2,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
11,1,,<div style='color:red'>False!</div>,,html-keyboard-response,9,5767,0.0-0.0-0.3,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,10,5911,0.0-0.0-1.3,2000,2000,<div style='color:red'>GREEN</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,GREEN,red,False,440.0,<div style='color:red'>GREEN</div>,j,html-keyboard-response,11,6208,0.0-0.0-2.3,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
12,1,,<div style='color:red'>False!</div>,,html-keyboard-response,12,6713,0.0-0.0-0.4,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,301.0,<div style='color:red'>RED</div>,f,html-keyboard-response,13,6810,0.0-0.0-1.4,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,True,268.0,<div style='color:red'>RED</div>,j,html-keyboard-response,14,6981,0.0-0.0-2.4,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
13,1,,<div style='color:white'>+</div>,,html-keyboard-response,15,7009,0.0-0.0-0.5,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>Correct!</div>,,html-keyboard-response,16,7612,0.0-0.0-1.5,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,False,634.0,<div style='color:green'>GREEN</div>,f,html-keyboard-response,17,7644,0.0-0.0-2.5,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
14,1,440.0,<div style='color:red'>GREEN</div>,j,html-keyboard-response,18,7769,0.0-0.0-0.6,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,19,7783,0.0-0.0-1.6,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,406.0,<div style='color:red'>RED</div>,j,html-keyboard-response,20,8176,0.0-0.0-2.6,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
15,1,,<div style='color:red'>False!</div>,,html-keyboard-response,21,8413,0.0-0.0-0.7,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:white'>+</div>,,html-keyboard-response,22,8445,0.0-0.0-1.7,2000,2000,<div style='color:green'>RED</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,RED,green,False,140.0,<div style='color:green'>RED</div>,j,html-keyboard-response,23,8553,0.0-0.0-2.7,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
